alimento,unidad,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,colesterol_mg,acidos_saturados_g,acidos_monoinsaturados_g,acidos_poliinsaturados_g,acido_folico_mcg,vitamina_a_mcg,calcio_mg,hierro_mg,sodio_mg,potasio_mg,fosforo_mg,zinc_mg,selenio_mcg,carga_glicemica,categoria,pagina,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol,acido_ascorbico_mg,AG saturados_g,AG monoinsaturados_g,AG poliinsaturados_g,cantidad_sugerida,peso_bruto_g,ac_g_saturados_g,ac_monoinsaturados_g,ac_poliinsaturados_g,AG poliinsaturados (g),AG monoinsaturados (g)
verduras,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
frutas,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
cereales sin grasa,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
cereales con grasa,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
leguminosas,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
origen animal muy bajo aporte de grasa,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
origen animal bajo aporte de grasa,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
origen animal moderado aporte de grasa,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
origen animal alto aporte de grasa,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
leche descremada,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
leche semidescremada,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
leche entera,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
leche con azúcar,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
grasas sin proteína,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
grasas con proteína,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
azúcares sin grasa,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
azúcares con grasa,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
libres de energía,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
