alimento,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,carga_glicemica,cantidad_sugerida,peso_bruto_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_g,categoria,cantidad,medida,acido_folico_g,vitamina_a_g,selenio_g,calcio_g,hierro_g,sodio_g,potasio_g,fosforo_g,zinc_g,acido_ascorbico_g
Acelga cocida,72.0,72.0,19.0,1.9,0.1,3.9,3.0,0.0,3.0,,,0.0,0.0,0.0,0.0,verduras,0.5,taza,1.7899999999999998e-05,0.0002758,0.0,0.0101,0.0014,0.6545,0.17350000000000002,0.029500000000000002,0.0,0.0
Acelga cruda,120.0,98.0,22.0,2.2,0.1,4.3,3.0,0.0,3.0,,,0.0,0.0,0.0,0.0,verduras,2.0,taza,2.95e-05,0.00031089999999999997,0.0,0.0148,0.0025,0.7498,0.22240000000000001,0.040299999999999996,0.0,0.0
Alcachofa mediana cocida,120.0,48.0,25.0,1.4,0.2,5.7,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,verduras,1.0,pieza,4.27e-05,1.01e-05,0.0,0.0003,0.0003,0.1373,0.028800000000000003,0.035,0.0,0.0
Aifafa,116.0,116.0,27.0,4.6,0.8,2.4,4.0,0.0,0.0,,,0.1,0.0,0.0,0.0,verduras,3.5,taza,0.0,0.0,0.0,0.037,0.0095,0.0,0.006900000000000001,0.0,0.0,0.0
Alga Nori,10.0,10.0,20.0,4.0,0.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,verduras,10.0,g,0.0,0.0,0.0,0.04,0.04,0.012,0.0,0.012,0.0,0.0
Alga para sushi,10.0,10.0,14.0,4.0,0.1,3.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,verduras,10.0,g,0.0,0.0,0.0,0.0315,0.0003,0.213,0.0683,0.0188,0.0,0.0
Apio crudo,75.0,75.0,14.0,0.6,0.1,2.7,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,verduras,0.5,taza,4.599999999999999e-06,3.6e-05,0.0,0.0002,0.018000000000000002,0.2337,0.0719,0.0216,0.0,0.0
Apio cocido,80.0,80.0,20.0,0.8,0.1,2.9,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,verduras,1.0,taza,1.2e-05,7.759999999999999e-05,0.0,0.0012,0.0245,0.2952,0.0216,0.0227,0.0,0.0
Arúgula cruda,99.0,99.0,35.0,2.1,0.5,8.6,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,verduras,4.0,taza,1.2e-05,0.00012959999999999998,0.0,0.013900000000000001,0.0012,0.1004,0.0112,0.0235,0.0,0.0
Berenjena cocida,56.0,56.0,34.0,0.8,0.2,4.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,verduras,1.0,taza,7.8e-06,3.57e-05,0.0,0.0364,0.0329,0.0021000000000000003,0.0195,0.0074,0.0,0.0
Betoa crudo,39.0,39.0,19.0,1.3,0.1,4.1,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,verduras,39.0,g,6.7e-06,4.6299999999999994e-05,0.0,0.012,0.002,0.131,0.0235,0.0225,0.0,0.0
Betoa crudo rallado,38.0,38.0,18.0,0.8,0.1,3.8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,verduras,38.0,g,7.499999999999999e-06,3.4899999999999995e-05,0.0,0.023899999999999998,0.0006,0.577,0.0189,0.023600000000000003,0.0,0.0
Bledos crudo,150.0,150.0,27.0,2.4,0.3,4.6,0.0,0.0,0.0,,,0.1,0.0,0.0,0.0,verduras,150.0,g,4.06e-05,8.03e-05,0.0,0.046700000000000005,0.0039,0.0006,0.0006,0.0,0.0,0.0
